fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211128 175119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	339.6	241	TRUE	0.0959214721216417	0.37156160121072	3666	33	40.5198752362526	0.562588346736739	10	0.0398893659042789	6636875	5781875	0.0438854158821019	6695000	5895000	73
20211128 175717	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	177.5	220	TRUE	0.199793125475189	0.295552878952593	1281	98	51.1508295492188	0.582635413152752	10	0.0366239026553857	6659625	5549625	0.03744989246232	7356250	6056250	74
20211128 180402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	327.6	252	TRUE	0.075939135293993	0.115047384218259	1132	121	52.3864498942788	0.638040379507871	10	0.0388081310202271	6883375	5963375	0.0391654741281916	7050000	6250000	75
20211128 180921	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	260.1	228	TRUE	0.140912011720429	0.105372272737328	1719	80	48.1836647599854	0.641450627355013	10	0.0371402508933578	6652500	5772500	0.0407136819730026	6968750	6018750	76
20211128 181751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	492.2	267	TRUE	0.0588576411468786	0.100614407198052	1079	120	52.8686430772417	0.60052392143281	10	0.0378231360832852	6920500	5870500	0.0350982902764179	7057500	5857500	77
20211128 182739	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	316.9	252	TRUE	0.0757418953003098	0.356159875552481	918	153	54.4943469195615	0.655966818250937	10	0.0379679144385027	6903875	5853875	0.0352991388616906	6927500	6227500	78
20211128 183550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	287.2	247	TRUE	0.0836409333854672	0.18849325606104	528	262	60.0546380627167	0.642642522658148	10	0.0369276861406107	6894250	5599250	0.0354916187559104	7198750	5848750	79
20211128 184351	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	146.3	232	TRUE	0.123106886641085	0.739860316063417	521	313	60.1785868331604	0.758860719150766	10	0.0371025917836191	6803125	5868125	0.0341861029516373	6943750	5793750	80
20211128 185004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	231.5	230	TRUE	0.130407606169335	0.761312945929263	3326	65	41.5098623279668	0.997742804165611	10	0.0399069401554903	6554250	5609250	0.0445883859305566	6490000	5740000	81
20211128 185503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	161	221	TRUE	0.189649143937747	0.745480968631758	1667	66	48.4936859105527	0.514521300580518	10	0.0364004586042697	6568000	5703000	0.0311398994083335	6798750	5898750	82
20211128 190151	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	256.6	222	TRUE	0.180709188660132	0.362176299802004	6223	31	35.1063215278648	0.88447009327664	10	0.0396215677905819	6566875	5536875	0.0433749257278669	6571250	5771250	83
20211128 190807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	211.1	227	TRUE	0.143047165446901	0.853160652756179	2077	102	46.2756492612511	0.981201271375047	10	0.0363920899132167	6634250	5679250	0.0436092490773518	6686250	5936250	84
20211128 191726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	286	254	TRUE	0.0736480277631944	0.227864002532046	98	411	76.8912127220817	0.187832865938938	10	0.0393797126191492	6723000	5708000	0.037985488689714	7026250	5676250	85
20211128 192929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	904.9	221	TRUE	0.182974175354769	0.295527386989165	17066	2	24.4837336674705	0.0435307990251784	10	0.039199785761509	5264875	4819875	0.0350564468211527	5163750	4813750	86
