fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	early_stopping_rounds	force_row_wise	max_bin	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211127 230503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	223	TRUE	25	0.171858094663126	0.256102606088389	11	11677	964333	98.8923754887655	0.598803728774306	964333	2	339	5263	0.0440444210121095	6071250	6221250	4809	0.0402450352740328	6288750	5688750	5
20211127 230656	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	223	TRUE	25	0.171858094663126	0.256102606088389	11	11677	187049	98.8923754887655	0.598803728774306	187049	3	521	4217	0.0352907701706376	6178750	5428750	4007	0.0335333450495008	6291250	5641250	5
20211127 230830	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	223	TRUE	25	0.171858094663126	0.256102606088389	11	11677	205151	98.8923754887655	0.598803728774306	205151	4	302	4404	0.0368557153975547	6345000	5545000	3813	0.0319098189852125	6333750	5433750	5
20211127 231040	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	223	TRUE	25	0.171858094663126	0.256102606088389	11	11677	813697	98.8923754887655	0.598803728774306	813697	5	718	3745	0.0313407479936063	5968750	5268750	4311	0.0360774271296227	6361250	5661250	5
20211127 231151	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	223	TRUE	25	0.171858094663126	0.256102606088389	11	11677	344719	98.8923754887655	0.598803728774306	344719	6	57	5509	0.0461031190111555	5863750	4713750	4049	0.0338848300737282	6288750	5638750	5
20211127 231321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	223	TRUE	25	0.171858094663126	0.256102606088389	11	11677	127217	98.8923754887655	0.598803728774306	127217	7	232	4232	0.0354163005364331	5960000	5460000	3654	0.0305791971077804	6232500	5382500	5
20211127 231445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	223	TRUE	25	0.171858094663126	0.256102606088389	11	11677	464371	98.8923754887655	0.598803728774306	464371	8	181	3749	0.0313742227578184	6063750	5113750	3872	0.0324035717573414	6210000	5410000	5
20211127 231619	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	223	TRUE	25	0.171858094663126	0.256102606088389	11	11677	645137	98.8923754887655	0.598803728774306	645137	9	278	4929	0.0412492782003967	6188750	5238750	3911	0.0327299507084097	6261250	5511250	5
20211127 231748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	223	TRUE	25	0.171858094663126	0.256102606088389	11	11677	480803	98.8923754887655	0.598803728774306	480803	10	238	5754	0.0481534483191484	6357500	5307500	3871	0.0323952030662884	6361250	5461250	5
20211127 232017	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	230	TRUE	208	0.132032610804774	0.775729331166949	53	1040	378821	83.0561747867614	0.256982645514072	378821	1	118	4425	0.0370314579096684	6618750	5718750	4425	0.0370314579096684	6618750	5718750	6
20211127 232241	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	230	TRUE	208	0.132032610804774	0.775729331166949	53	1040	964333	83.0561747867614	0.256982645514072	964333	2	131	4290	0.035901684617509	6237500	4987500	4989	0.0417513996635786	6463750	5663750	6
20211127 232514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	230	TRUE	208	0.132032610804774	0.775729331166949	53	1040	187049	83.0561747867614	0.256982645514072	187049	3	175	5247	0.043910521955261	6391250	5391250	3834	0.0320855614973262	6407500	5557500	6
20211127 232741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	230	TRUE	208	0.132032610804774	0.775729331166949	53	1040	205151	83.0561747867614	0.256982645514072	205151	4	141	4986	0.0417262935904195	6417500	5467500	4398	0.0368055032512365	6252500	5702500	6
20211127 233011	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	230	TRUE	208	0.132032610804774	0.775729331166949	53	1040	813697	83.0561747867614	0.256982645514072	813697	5	166	4335	0.0362782757148954	6281250	5331250	3690	0.0308804699856895	6337500	5437500	6
20211127 233214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	230	TRUE	208	0.132032610804774	0.775729331166949	53	1040	344719	83.0561747867614	0.256982645514072	344719	6	43	4490	0.0375754228281155	6437500	5787500	3679	0.0307884143841062	6451250	5501250	6
