fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211127 223905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	964333	75.483642690815	0.343145421289228	964333	2	182	5147	0.0430736528499577	6666250	5566250	4818	0.0403203534935101	6677500	5727500	4
20211127 224028	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	187049	75.483642690815	0.343145421289228	187049	3	269	4743	0.0396927016645326	6621250	5921250	4947	0.0413999146393513	6816250	5766250	4
20211127 224121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	205151	75.483642690815	0.343145421289228	205151	4	87	3794	0.0317508138552049	6707500	5807500	4548	0.0380608069091913	6715000	5865000	4
20211127 224223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	813697	75.483642690815	0.343145421289228	813697	5	144	4682	0.0391822115102977	6697500	5897500	4818	0.0403203534935101	6777500	5727500	4
20211127 224345	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	344719	75.483642690815	0.343145421289228	344719	6	255	4657	0.0389729942339719	6728750	5878750	4733	0.0396090147540023	6883750	5883750	4
20211127 224522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	127217	75.483642690815	0.343145421289228	127217	7	355	3996	0.0334412894479175	7005000	5505000	4567	0.0382198120391989	6841250	6041250	4
20211127 224623	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	464371	75.483642690815	0.343145421289228	464371	8	142	4987	0.0417346622814726	6666250	5766250	4246	0.0355334622111756	6892500	6042500	4
20211127 224743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	645137	75.483642690815	0.343145421289228	645137	9	240	4327	0.0362113261864712	6791250	5591250	4123	0.0345041132116526	6896250	5896250	4
20211127 224854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	480803	75.483642690815	0.343145421289228	480803	10	193	4274	0.0357677855606605	6957500	6107500	4104	0.0343451080816449	7020000	5870000	4
20211127 225011	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	378821	35.4673616588116	0.41958289853661	378821	1	745	4457	0.0372992560233654	7078750	5978750	4457	0.0372992560233654	7078750	5978750	5
