Feature	Gain	Cover	Frequency	pos
mv_Finiciomora_avg3	0.00174934229517331	0.00331414622254113	0.00192435793057509	47
cpayroll_trx_avg6_avg3	0.00174710059333976	0.00102725714638938	0.00103619273184812	48
mplazo_fijo_dolares	0.00170421315483936	0.0157211566173285	0.00281252312930205	49
ctrx_quarter_tend6_avg6_avg3	0.0016690667060668	0.00106324109696644	0.00222041299681741	50
mv_status01_max6	0.0016321631974977	0.000205225715715752	0.000592110132484642	51
ccaja_seguridad	0.00154066863883457	0.00321751343849633	0.00162830286433277	52
mpayroll_min6	0.00139952260190671	0.00496756484425926	0.00118422026496928	53
mtransferencias_recibidas	0.00137923359950411	0.00322692596115354	0.00236844052993857	54
mrentabilidad_max6_avg6	0.0013694388610057	0.000853167214206254	0.00133224779809044	55
mcuenta_debitos_automaticos	0.00136458189765069	0.0045672638452073	0.00199837169713567	56
tcallcenter_tend6	0.00136155150665346	0.00421518073891615	0.00207238546369625	57
mcuenta_corriente_tend6	0.00134528942358167	0.000474215512731512	0.00155428909777219	58
mcuenta_corriente_tend6_avg3	0.00134500814765048	0.000694920637826058	0.00125823403152986	59
mprestamos_personales_min6_tend6	0.00133700976024033	0.00163413280019701	0.00170231663089335	60
mactivos_margen_avg3	0.00133371344685009	0.00533073996909147	0.00222041299681741	61
Master_mlimitecompra_min6_avg6_avg3	0.001315863723559	0.00228442826409132	0.00273850936274147	62
Visa_mpagominimo_max6_tend6	0.00130203511700483	0.00362900996378797	0.00266449559618089	63
mv_mpagominimo_avg3	0.0012489503575793	0.000515648642796538	0.0011102064984087	64
mvr_msaldopesos2_tend6	0.00119665126501288	0.00721127785425977	0.00303456442898379	65
mcomisiones_mantenimiento_max6_avg3	0.00118995525729797	0.000269357082397915	0.000962178965287544	66
mactivos_margen_max6_avg6_avg3	0.00118209677869912	0.00190962688743492	0.00251646806305973	67
mrentabilidad_max6_avg3	0.00117862257963747	0.00048211214844783	0.00192435793057509	68
mcuentas_saldo_min6_avg6	0.00116739905308855	0.00035291784579604	0.000962178965287544	69
mrentabilidad_max6_avg6_avg3	0.00116269931884572	0.000439460298705655	0.00162830286433277	70
mv_msaldototal_avg3	0.00115754480636329	0.000373786333418444	0.000518096365924062	71
Master_mfinanciacion_limite	0.0011564620344415	0.00326990502878163	0.00251646806305973	72
Visa_Finiciomora	0.00115574088308319	0.00687991298248014	0.00155428909777219	73
mv_status06_tend6_avg3	0.0011160943280367	0.00149681481268357	0.000444082599363482	74
Visa_fechaalta_tend6	0.001109232793416	0.00247097584864551	0.00185034416401451	75
Master_fechaalta	0.00110899867005451	0.000769259199174091	0.00148027533121161	76
mv_msaldopesos_avg3	0.00110728044771553	0.000112335903610906	0.000370068832802901	77
mcuentas_saldo_min6_tend6_avg3	0.00108067200804483	0.00095377001933634	0.00192435793057509	78
chomebanking_transacciones_max6	0.00107976893579888	0.00213408500134348	0.00229442676337799	79
chomebanking_transacciones	0.00107075100506813	0.00132332255398595	0.00222041299681741	80
mcaja_ahorro_dolares	0.00105230393033775	0.00939052894073417	0.00259048182962031	81
cpagomiscuentas_tend6_avg6_avg3	0.00105200879114964	0.00196058940368784	0.00185034416401451	82
Visa_mpagominimo_max6_avg6_avg3	0.00103132440771812	0.000455650906142621	0.00140626156465103	83
cpayroll_trx_avg3	0.00102462043170563	0.000235633606400109	0.000296055066242321	84
ctrx_quarter_tend6	0.00102442262040556	0.00166605323886424	0.00207238546369625	85
thomebanking_tend6	0.000997637958974017	0.00567907342552662	0.00229442676337799	86
Visa_cconsumos_tend6_avg6	0.000970539858002623	0.00128108139608019	0.00229442676337799	87
mcomisiones_mantenimiento_avg6_tend6	0.000965959631349086	0.00116669537224525	0.00162830286433277	88
Visa_cconsumos_tend6	0.00096264967318177	0.00318121228690741	0.00207238546369625	89
cliente_edad_min6	0.000962195649852222	0.00359238827222916	0.00229442676337799	90
ctarjeta_visa_transacciones_tend6_avg6	0.000960889357946665	0.000511177778008314	0.00162830286433277	91
cmobile_app_trx_max6_avg6_avg3	0.00095001149405094	0.000653247102783622	0.00222041299681741	92
Visa_delinquency_tend6	0.000947812560091904	0.00321293572705148	0.00185034416401451	93
mpayroll_min6_avg6_avg3	0.000942013927272412	0.00339223777270318	0.00148027533121161	94
mvr_mpagominimo_min6_tend6	0.000938388360753081	0.00159593512045296	0.00177633039745393	95
