Feature	Gain	Cover	Frequency	pos
mprestamos_personales_avg6_delta2_avg3	0.00045601445408256	2.62371822527321e-05	0.000289729103288425	134
mprestamos_personales_delta4_delta6	0.000455476689860549	1.12961281674936e-05	0.000434593654932638	135
mprestamos_personales_delta4_avg3	0.000451145565797701	0.0015134036154303	0.00101405186150949	136
mactivos_margen_delta4_avg6_avg3	0.000450589083075024	5.36526810737007e-05	0.000434593654932638	137
thomebanking_max6_avg6_avg3	0.000449835423752839	8.18956199736976e-05	0.000434593654932638	138
ccajas_consultas_avg6_delta6	0.000449550145281085	0.00594136540694972	0.00159351006808634	139
ccaja_seguridad_avg6	0.000447931857786988	0.00515777965210994	0.0011589164131537	140
ctarjeta_visa_transacciones_delta6_avg6_avg3	0.000446931242080236	0.00178219071705135	0.0011589164131537	141
mvr_msaldopesos2_tend6_avg3	0.000446725088734678	5.98532447038873e-05	0.000724322758221063	142
mpayroll_min6_delta2_delta4_tend6_avg3	0.000446255427705361	0.0028582294071649	0.00130378096479791	143
mv_fechaalta_max6_lag2_tend6_avg3	0.000438092220811269	1.51924282864623e-05	0.000434593654932638	144
mdescubierto_preacordado_delta2_tend6	0.000436392553836628	0.000110730335639075	0.000289729103288425	145
mv_mpagominimo_min6	0.000432563684041348	0.00223585306974744	0.000724322758221063	146
mtarjeta_visa_consumo_min6_delta4	0.000432540768645603	0.000355474542305579	0.000869187309865276	147
mcomisiones_mantenimiento_delta4	0.000423376612927107	0.00027129036970824	0.000724322758221063	148
Visa_status	0.000422893915764528	0.0028952652061452	0.00101405186150949	149
Visa_status_max6_delta2_delta6	0.000421941879069902	3.33070816621509e-06	0.000144864551644213	150
ctrx_quarter_min6_lag4_delta6_avg6_avg3	0.00042180074951548	4.16809847404181e-05	0.000434593654932638	151
ctrx_quarter_delta2	0.000421459393010951	0.0003749927016381	0.00130378096479791	152
mtarjeta_master_consumo_delta6	0.000418358028928649	3.46267962185758e-05	0.000289729103288425	153
mpayroll_min6_delta2_delta4_delta6_tend6	0.000415691276863089	0.00211869174412706	0.00101405186150949	154
mdescubierto_preacordado_avg6_delta2_tend6	0.000414107819531016	5.28409518822489e-06	0.000144864551644213	155
mcaja_ahorro_dolares_min6_delta2	0.000414075437396394	7.57893216689699e-05	0.000289729103288425	156
mcuenta_corriente_min6_delta2	0.000413720372713106	0.000364382615561447	0.00101405186150949	157
mv_msaldototal_avg3	0.000403525647813332	8.85203775684493e-05	0.000144864551644213	158
chomebanking_transacciones_max6	0.000401257422601099	0.000147865636907364	0.000579458206576851	159
ctrx_quarter_delta4	0.000399479449737281	0.000217930958535967	0.00101405186150949	160
mcomisiones_otras_max6_lag2_lag6	0.000398354813553695	0.000233264784810618	0.000289729103288425	161
ctrx_quarter_min6_lag4_delta6_avg6	0.000398155032051612	4.71797953921884e-05	0.000289729103288425	162
mv_msaldopesos_avg3	0.000397902056308527	0.000729828334515569	0.000579458206576851	163
ctrx_quarter_avg6_delta2_lag4_avg6	0.000393930898793964	3.06990743244542e-05	0.000144864551644213	164
mpayroll_lag4	0.000393125993581701	0.000264440422724892	0.000434593654932638	165
minversion2	0.000392567084135658	0.00878473755142979	0.00159351006808634	166
mcomisiones_mantenimiento_avg3	0.000392155199651799	0.000122241179270114	0.000434593654932638	167
ctrx_quarter_avg6_delta2_lag4_avg6_avg3	0.000390463089799723	0.000429933675493073	0.000579458206576851	168
Visa_mconsumospesos_min6_delta2	0.00038931463376723	0.000628194602783279	0.000724322758221063	169
Visa_mpagominimo_max6_tend6	0.000389012207483278	0.00186757415406703	0.0011589164131537	170
ctarjeta_visa_transacciones_delta4_avg3	0.000388442130848944	0.000172317014938902	0.000869187309865276	171
cprestamos_personales_avg6_avg6_avg3	0.000386175644820735	0.00266275454393825	0.000869187309865276	172
mpasivos_margen_max6	0.000383711825317846	0.000228813366663946	0.000579458206576851	173
Visa_fultimo_cierre_avg6_lag6	0.000383202453565545	0.000390593613001551	0.000869187309865276	174
Visa_status_avg3	0.000381870397414628	3.03743826478735e-06	0.000144864551644213	175
ccaja_ahorro_delta6	0.000381849569814405	0.00445983918241211	0.0011589164131537	176
ccajas_consultas_tend6	0.000378623286612298	0.00203307264379773	0.0011589164131537	177
mprestamos_personales_tend6	0.000376928395615167	0.000586178452441229	0.000579458206576851	178
tcallcenter_tend6	0.000375726569099195	0.000686335360741329	0.00101405186150949	179
mcuentas_saldo_delta2	0.000374031025423872	0.00186838064629595	0.000869187309865276	180
mpayroll_min6_delta2_delta4_tend6	0.000373830465356112	0.00129352974379737	0.00101405186150949	181
ctrx_quarter_delta2_avg3	0.000372428504853098	0.00256039811137745	0.00130378096479791	182
mtarjeta_visa_consumo_min6_delta6_avg3	0.000371520226648284	0.000459360167923832	0.000869187309865276	183
mcuentas_saldo_min6_delta6_avg6_avg3	0.000370998459820529	4.41790158650795e-05	0.000289729103288425	184
